tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,Price,Years experience ,no of s project done
CDVFDMETT14000035,PROVISION OF AN INTEGRATED ONLINE COMMUNICATIONS STRATEGY,Ministry of Social and Family Development - Family Development Group,21-04-2015,Awarded to Suppliers,SPLASH INTERACTIVE PTE. LTD.,402158.96,4,4
CDVFDMETT15000001,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,30-03-2015,Awarded to Suppliers,ADELE EDUCATIONAL PSYCHOLOGY SERVICES,27700,4,4
CDVFDMETT15000001,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,30-03-2015,Awarded to Suppliers,FAMILYWISE,198000,4,4
CDVFDMETT15000001,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,30-03-2015,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,249600,4,4
CDVFDMETT15000001,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,30-03-2015,Awarded to Suppliers,Filos Community Services Ltd,41600,4,4
CDVFDMETT15000001,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,30-03-2015,Awarded to Suppliers,INNERWORKZ,153300,4,4
CDVFDMETT15000001,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,30-03-2015,Awarded to Suppliers,METHODIST WELFARE SERVICES,43000,4,4
CDVFDMETT15000001,Provision of Triple P System Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,30-03-2015,Awarded to Suppliers,Morning Star Community Services,411400,4,4
CDVFDMETT15000029,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,06-04-2015,Awarded to Suppliers,CARE CORNER SINGAPORE LTD,51520,4,4
CDVFDMETT15000029,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,06-04-2015,Awarded to Suppliers,Cornerstone Community Services,66000,4,4
CDVFDMETT15000029,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,06-04-2015,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,120000,4,4
CDVFDMETT15000029,Invitation to Tender for the Provision of the Prevention and Relationship Enhancement Programme (PREP),Ministry of Social and Family Development - Family Development Group,06-04-2015,Awarded to Suppliers,SOCIETY OF SHENG HONG WELFARE SERVICES,78720,4,4
CDVFDMETT15000033,PROVISION OF A PUBLISHING AGENCY TO PRODUCE SOCIAL DEVELOPMENT NETWORK (SDN)S QUARTERLY MAGAZINE DUET,Ministry of Social and Family Development - Family Development Group,29-05-2015,Awarded to Suppliers,NOVUS DIGITAL SOLUTIONS PTE. LTD.,664664,4,4
CDVFDMETT15000035,Provision of Services to Organise Families for Life Celebrations 2015 (FFLC15) Main Event and Families for Life SG50 Picnics,Ministry of Social and Family Development - Family Development Group,12-06-2015,Awarded to Suppliers,RESORTS WORLD AT SENTOSA PTE. LTD.,467266.36,4,4
CDVFDMETT15000035,Provision of Services to Organise Families for Life Celebrations 2015 (FFLC15) Main Event and Families for Life SG50 Picnics,Ministry of Social and Family Development - Family Development Group,12-06-2015,Awarded to Suppliers,SPHERE EXHIBITS PTE. LTD.,688880,4,4
CDVFDMETT15000036,Provision of Call Answering and Hotline Management Service for Government-paid Leave Schemes,Ministry of Social and Family Development - Family Development Group,12-06-2015,Awarded to Suppliers,TERRA SYSTEMS PTE. LTD.,1478060,4,4
CDVFDMETT15000037,REQUEST FOR PROPOSAL (RFP) FOR THE STUDY ON EXTENDED FAMILIES IN SINGAPORE,Ministry of Social and Family Development - Family Development Group,22-06-2015,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,178000,4,4
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,APKIM RESOURCES,16000,4,4
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,CAROLINA EDUCATION CONSULTANCY PTE. LTD.,8000,4,4
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,En Community Services Society,8000,4,2
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,40000,4,2
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,Morning Star Community Services,16000,4,2
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,SPARKZ CONSULTANTS PTE. LTD.,16000,4,2
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,Suchi Success Initiatives Pte Ltd,8000,4,2
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,TOUCH COMMUNITY SERVICES LIMITED,37500,4,2
CDVFDMETT15000038,"REQUEST FOR PROPOSAL (RFP) FOR THE DEVELOPMENT, CONDUCT AND MANAGEMENT OF FAMILY 365 PROGRAMMES SERVICE(S)",Ministry of Social and Family Development - Family Development Group,06-10-2015,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,43500,4,2
CDVFDMETT15000039,Provision of Families for Life (FFL) collaterals and resource materials,Ministry of Social and Family Development - Family Development Group,03-07-2015,Awarded to Suppliers,AMPHASIS DESIGN PTE LTD,1500,4,2
CDVFDMETT15000039,Provision of Families for Life (FFL) collaterals and resource materials,Ministry of Social and Family Development - Family Development Group,03-07-2015,Awarded to Suppliers,Graphic Masters & Advertising Pte Ltd,39370,4,2
CDVFDMETT15000039,Provision of Families for Life (FFL) collaterals and resource materials,Ministry of Social and Family Development - Family Development Group,03-07-2015,Awarded to Suppliers,LEE & LIM INTERNATIONAL,68170,4,2
CDVFDMETT15000045,Social Survey about Care Arrangements for Infants,Ministry of Social and Family Development - Family Development Group,04-08-2015,Awarded to Suppliers,EA RESEARCH & CONSULTING PTE. LTD.,109200,4,2
CDVFDMETT15000049,Invitation to Tender for the Provision of Services to Organise Families for Life Monthly Picnics,Ministry of Social and Family Development - Family Development Group,02-12-2015,Awarded to No Suppliers,Unknown,0,4,2
CDVFDMETT15000051,Invitation to Tender for the Administration of Cinta Abadi Marriage Preparation Programme,Ministry of Social and Family Development - Family Development Group,30-10-2015,Awarded to Suppliers,MENDAKI SOCIAL ENTERPRISE NETWORK SINGAPORE PTE. LTD.,562710,4,2
CDVFDMETT15000052,INVITATION TO TENDER FOR THE PROVISION OF ADMINISTRATION AND TRAINING SERVICES FOR LOCAL DATING INDUSTRY,Ministry of Social and Family Development - Family Development Group,11-12-2015,Awarded to Suppliers,SINGAPORE NATIONAL EMPLOYERS FEDERATION,251360,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,COMPASS LIFE,147000,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,En Community Services Society,155100,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,FAMILYWISE,439200,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,250200,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,Morning Star Community Services,783200,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,Reach Community Services Society,35772.5,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,TOUCH FAMILY SERVICES LIMITED,557840,4,2
CDVFDMETT15000053,Invitation to Tender for the Provision of Triple P Providers (Levels 2 and 3),Ministry of Social and Family Development - Family Development Group,09-11-2015,Awarded to Suppliers,UNLEASH & SOAR,319200,4,2
CDVFDMETT15000055,REQUEST FOR PROPOSAL (RFP) FOR THE STUDY ON DIVORCED AND WIDOWED SENIORS IN SINGAPORE,Ministry of Social and Family Development - Family Development Group,31-12-2015,Awarded to Suppliers,FEI YUE COMMUNITY SERVICES,101330,4,2
CDVFDMETT15000058,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR THE SOCIAL DEVELOPMENT NETWORK SINGLES CELEBRATION 2016,Ministry of Social and Family Development - Family Development Group,29-01-2016,Awarded to Suppliers,ASIA PR WERKZ PTE. LTD.,28000,4,2
CDVFDMETT15000058,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR THE SOCIAL DEVELOPMENT NETWORK SINGLES CELEBRATION 2016,Ministry of Social and Family Development - Family Development Group,29-01-2016,Awarded to Suppliers,CITY HOTELS PTE. LTD.,46761,4,2
CDVFDMETT15000058,INVITATION TO TENDER FOR THE PROVISION OF SERVICES FOR THE SOCIAL DEVELOPMENT NETWORK SINGLES CELEBRATION 2016,Ministry of Social and Family Development - Family Development Group,29-01-2016,Awarded to Suppliers,SINGLE POINT OF CONTACT PTE. LTD.,189815,4,2
CDVFDMETT15000059,Provision of Public Relations Service(s),Ministry of Social and Family Development - Family Development Group,24-03-2016,Awarded to Suppliers,HILL & KNOWLTON (SEA) PTE LTD,582120,4,2
CDVFDMETT15000060,Invitation to Tender for the Provision of Services to Organise Families for Life Picnics in 2016-2017,Ministry of Social and Family Development - Family Development Group,12-04-2016,Awarded to Suppliers,AUX MEDIA GROUP PTE. LTD.,756300,4,2
CDVFDMETT16000001,REQUEST FOR PROPOSAL (RFP) FOR THE EVALUATION STUDY ON DIVORCE SUPPORT PROGRAMMES,Ministry of Social and Family Development - Family Development Group,18-08-2016,Awarded to Suppliers,SRINIVASAN CHOKKANATHAN,247074,4,2
CDVFDMETT16000003,Invitation to Tender for the Provision of Event Management for Family Development Group,Ministry of Social and Family Development - Family Development Group,18-04-2016,Awarded to Suppliers,APE WORKS PTE. LTD.,105000,4,2
CDVFDMETT16000003,Invitation to Tender for the Provision of Event Management for Family Development Group,Ministry of Social and Family Development - Family Development Group,18-04-2016,Awarded to Suppliers,CARE (CARE ADVISORS RECRUITMENT ENTERPRISE) PTE. LTD.,6360,4,2
CDVFDMETT16000003,Invitation to Tender for the Provision of Event Management for Family Development Group,Ministry of Social and Family Development - Family Development Group,18-04-2016,Awarded to Suppliers,SHATEC INSTITUTES PTE. LTD.,7200,4,2
CDVFDMETT16000004,"Invitation to Tender for the Provision of Storage, Inventory Management and Delivery Services",Ministry of Social and Family Development - Family Development Group,29-04-2016,Awarded to Suppliers,UI-LI PRINT & SERVICES,153000,4,2
CDVFDMETT16000005,Provision of Digital Content Management Services for Families for Life,Ministry of Social and Family Development - Family Development Group,17-06-2016,Awarded to Suppliers,CARBON INTERACTIVE PTE. LTD.,819600,4,2
CDVFDMETT16000006,Invitation to Tender for the Provision of Triple P (Level 4 Group Teen) Providers,Ministry of Social and Family Development - Family Development Group,11-07-2016,Awarded to Suppliers,COMPASS LIFE,20400,4,2
CDVFDMETT16000006,Invitation to Tender for the Provision of Triple P (Level 4 Group Teen) Providers,Ministry of Social and Family Development - Family Development Group,11-07-2016,Awarded to Suppliers,CONNECT CONSULTANCY & TRAINING,19600,4,2
CDVFDMETT16000006,Invitation to Tender for the Provision of Triple P (Level 4 Group Teen) Providers,Ministry of Social and Family Development - Family Development Group,11-07-2016,Awarded to Suppliers,En Community Services Society,5680,4,2
CDVFDMETT16000006,Invitation to Tender for the Provision of Triple P (Level 4 Group Teen) Providers,Ministry of Social and Family Development - Family Development Group,11-07-2016,Awarded to Suppliers,METHODIST WELFARE SERVICES,6900,4,2
CDVFDMETT16000006,Invitation to Tender for the Provision of Triple P (Level 4 Group Teen) Providers,Ministry of Social and Family Development - Family Development Group,11-07-2016,Awarded to Suppliers,PROWIZ ASIA PTE. LTD.,14800,4,2
CDVFDMETT16000006,Invitation to Tender for the Provision of Triple P (Level 4 Group Teen) Providers,Ministry of Social and Family Development - Family Development Group,11-07-2016,Awarded to Suppliers,UNLEASH & SOAR,16200,4,2
CDVFDMETT16000008,"Provision of Curriculum Development, Training and Evaluation Services for a Programme Supporting Early Marriages",Ministry of Social and Family Development - Family Development Group,22-09-2016,Awarded to Suppliers,WONG YUH JU,424700,4,2
CDVHQ0ETT14000061,APPOINTMENT OF A MANAGING CONTRACTOR FOR THE PROVISION OF FACILITIES MANAGEMENT SERVICES FOR MSF VOID DECK FACILITIES AND OFFICE SPACES FOR A PERIOD OF TWO (2) YEARS WITH AN OPTION TO EXTEND BY A FURTHER ONE (1) YEAR,Ministry of Social and Family Development - Ministry Headquarter,30-01-2015,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.,3153335,4,2
CDVHQ0ETT14000066,Invitation to Tender for the Provision of Services for Write In Simple English Movement,Ministry of Social and Family Development - Ministry Headquarter,10-03-2015,Awarded to Suppliers,BRITISH COUNCIL (SINGAPORE) LIMITED,826680,4,2
CDVHQ0ETT14000072,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of Data Collection Services for the Evaluative Study on Elderly Support Facilities. The details of the services required are set out in the Requirement Specifications.,Ministry of Social and Family Development - Ministry Headquarter,28-01-2015,Awarded to Suppliers,ML Research Consultants Pte Ltd,162500,4,2
CDVHQ0ETT14000079,Provision of Event Management Services for MSF Volunteer Awards 2015,Ministry of Social and Family Development - Ministry Headquarter,12-01-2015,Awarded to Suppliers,Pico Art International Pte Ltd,294480,4,2
CDVHQ0ETT14000082,TENDER FOR CONDUCTING SOCIAL INVESTIGATION FOR 2 YEARS WITH THE OPTION TO EXTEND FOR 2 YEARS,Ministry of Social and Family Development - Ministry Headquarter,05-01-2015,Awarded to Suppliers,THYE HUA KWAN MORAL CHARITIES LIMITED,428400,4,2
CDVHQ0ETT14000084,"Provision of data collection and analysis services for the Social Service Office Division, Ministry of Social and Family Development, for a period of 6 months",Ministry of Social and Family Development - Ministry Headquarter,06-02-2015,Awarded to No Suppliers,Unknown,0,4,2
CDVHQ0ETT14000087,"Proposed New Erection Of A 2 Storey Social Service Office (SSO) On Lot Mk06-00931m(Pt) At Corporation Drive, Taman Jurong, Singapore",Ministry of Social and Family Development - Ministry Headquarter,04-02-2015,Awarded to Suppliers,SH INTEGRATED SERVICES PTE. LTD.,2992850,4,2
CDVHQ0ETT14000088,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,30-01-2015,Awarded to Suppliers,GOLDEN VILLAGE MULTIPLEX PTE LTD,50000,4,2
CDVHQ0ETT14000088,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,30-01-2015,Awarded to Suppliers,IPG MEDIABRANDS (SINGAPORE) PTE. LTD.,106200,4,2
CDVHQ0ETT14000088,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,30-01-2015,Awarded to Suppliers,MEDIACORP PTE. LTD.,372497.38,4,2
CDVHQ0ETT14000088,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,30-01-2015,Awarded to Suppliers,SINGAPORE PRESS HOLDINGS LIMITED,155432,4,2
CDVHQ0ETT14000088,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the media planning of a public awareness campaign on problem gambling for the NCPG.,Ministry of Social and Family Development - Ministry Headquarter,30-01-2015,Awarded to Suppliers,STARLIGHT ADVERTISING (PTE) LTD.,157731.65,4,2
CDVHQ0ETT14000090,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of services for Revocation of Casino Self-Exclusion and Voluntary Visit Limit.,Ministry of Social and Family Development - Ministry Headquarter,07-04-2015,Awarded to Suppliers,INSTITUTE OF MENTAL HEALTH,516840,4,2
CDVHQ0ETT14000090,The Government of the Republic of Singapore c/o the Ministry of Social and Family Development invites you to submit a tender for the provision of services for Revocation of Casino Self-Exclusion and Voluntary Visit Limit.,Ministry of Social and Family Development - Ministry Headquarter,07-04-2015,Awarded to Suppliers,THE RESILIENZ CLINIC PTE. LTD.,382000,4,2
CDVHQ0ETT14000091,Invitation To Tender (ITT) for the Provision of Counter and Administration Support Services for Ministry of Social and Family Development.,Ministry of Social and Family Development - Ministry Headquarter,17-04-2015,Awarded to Suppliers,ST ELECTRONICS (E-SERVICES) PTE. LTD.,3516960,4,2
CDVHQ0ETT14000094,"Invitation to Tender for the supply, delivery, installation, testing, commissioning, operations and maintenance of an Enterprise Single Sign-On (ESSO) Software, Hardware and Services for Ministry of Social and Family Development (MSF).",Ministry of Social and Family Development - Ministry Headquarter,12-03-2015,Awarded to No Suppliers,Unknown,0,4,2
CDVHQ0ETT14000096,"Proposed A&A works to existing vacant premises on 2nd storey of Blk 5 Beach Rd and to part of the existing void deck on 1st storey at Blk 13 Bedok South Rd, Blk 121 Bt Merah View and Blk 190 Boon Lay Drive to Senior Activity Centre",Ministry of Social and Family Development - Ministry Headquarter,04-03-2015,Awarded to Suppliers,ASA CONTRACTS PTE. LTD.,897000,4,2
CDVHQ0ETT15000001,ITT for the provision of corporate mobile phones and lines for Ministry of Social and Family Development,Ministry of Social and Family Development - Ministry Headquarter,24-03-2015,Awarded to Suppliers,M1 LIMITED,240000,4,2
CDVHQ0ETT15000007,MSF will be conducting 9 runs (6 confirmed and 3 optional) of Career Conversations Workshops to enable MSF People Managers to engage their direct reports positively and effectively in performance and development discussions. The workshop will equip participants with the skills to plan and conduct effective career conversations by leveraging on the framework provided by the new HRMS Staff Appraisal Report and Individual Development Plan modules.,Ministry of Social and Family Development - Ministry Headquarter,11-03-2015,Awarded to No Suppliers,Unknown,0,4,2
CDVHQ0ETT15000012,EVALUATIVE STUDY ON EFFECTIVENESS OF SOCIAL ASSISTANCE SCHEME TO IMPROVE FAMILIES FINANCIAL AND SOCIAL SITUATION,Ministry of Social and Family Development - Ministry Headquarter,23-04-2015,Awarded to Suppliers,KPMG SERVICES PTE. LTD.,118000,4,2
CDVHQ0ETT15000016,MSF will be conducting 9 runs (6 confirmed and 3 optional) of Career Conversations Workshops to enable MSF People Managers to engage their direct reports positively and effectively in performance and development discussions. The workshop will equip participants with the skills to plan and conduct effective career conversations by leveraging on the framework provided by the new HRMS Staff Appraisal Report and Individual Development Plan modules.,Ministry of Social and Family Development - Ministry Headquarter,08-07-2015,Awarded to Suppliers,SUCCESS STRATEGY (PTE) LTD,40500,4,2
CDVHQ0ETT15000024,Invitation to Tender for the Provision of Audit Services for MSF-funded Programmes for one year with option to extend for another year,Ministry of Social and Family Development - Ministry Headquarter,19-06-2015,Awarded to Suppliers,PROTIVITI PTE. LTD.,180600,4,2
CDVHQ0ETT15000025,"Appointment of Term Contractor for a Term of Two (2) years with an Option to Extend for a Further One (1) Year for Proposed Development Works at HDB Void Deck, Rental Units and MSF Premises in Singapore",Ministry of Social and Family Development - Ministry Headquarter,26-08-2015,Awarded to Suppliers,SUCCESS FOREVER CONSTRUCTION & MAINTENANCE PTE LTD,18.68,4,2
CDVHQ0ETT15000026,Invitation to tender for a public awareness campaign on problem gambling for the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,03-09-2015,Awarded to No Suppliers,Unknown,0,4,2
CDVHQ0ETT15000027,"Invitation to Tender for the Provision of Group Sharing Mobile Broadband Subscriptions Plans for Social Service Office Division, Ministry of Social and Family Development",Ministry of Social and Family Development - Ministry Headquarter,01-07-2015,Awarded to Suppliers,BTW Technology Pte Ltd,63504,4,2
CDVHQ0ETT15000034,Invitation to tender for the appointment of a contractor for the proposed upgrading and alterations of offices in Singapore Girls' Home,Ministry of Social and Family Development - Ministry Headquarter,05-10-2015,Awarded to Suppliers,D'ASSOCIATES CONSTRUCTION PTE LTD,152810,4,2
CDVHQ0ETT15000035,Invitation to tender for the appointment of a Managing Contractor for the provision of facilities management services for MSF facilities at 141 Redhill Road Singapore 158828 for a period of two (2) years with an option to extend by a further one (1) year,Ministry of Social and Family Development - Ministry Headquarter,28-10-2015,Awarded to Suppliers,C&W SERVICES (S) PTE. LTD.,3580767,4,2
CDVHQ0ETT15000036,Invitation To Tender For The Proposed Design and Build Project For The Strengthening of Slope at Existing Registry of Marriage For Ministry of Social & Family Development,Ministry of Social and Family Development - Ministry Headquarter,13-10-2015,Awarded to Suppliers,RYOBI GEOTECHNIQUE INTERNATIONAL PTE. LTD.,335000,4,2
CDVHQ0ETT15000037,Invitation to tender for the provision of healthcare and hygiene consumables,Ministry of Social and Family Development - Ministry Headquarter,16-07-2015,Awarded to No Suppliers,Unknown,0,4,2
CDVHQ0ETT15000038,Proposed Development of EIPIC Centre at Blk 661 Hougang Avenue 4 / 660 Hougang Avenue 8 Singapore 530660 & 530661,Ministry of Social and Family Development - Ministry Headquarter,04-09-2015,Awarded to Suppliers,ASA CONTRACTS PTE. LTD.,868000,4,2
CDVHQ0ETT15000039,Invitation to tender for the provision of healthcare and hygiene consumables,Ministry of Social and Family Development - Ministry Headquarter,31-08-2015,Awarded to Suppliers,ST Logistics Pte. Ltd.,1584628,4,2
CDVHQ0ETT15000040,Invitation to Tender for the Provision of Services of Security Officers/Protection Officers During Hearing Sessions at the National Council on Problem Gambling,Ministry of Social and Family Development - Ministry Headquarter,31-12-2015,Awarded to No Suppliers,Unknown,0,4,2
CDVHQ0ETT15000041,Tender for Additions & Alterations to Existing Unit #01-413 for Use as Social Service Office at 1st Storey of Block 662 Hougang Avenue 4 on Lot 09257P MK 22,Ministry of Social and Family Development - Ministry Headquarter,28-01-2016,Awarded to Suppliers,ROYAL 88 INTERIOR DESIGN PTE LTD,466800,4,2
CDVHQ0ETT15000042,Invitation to Tender for the Provision of Audit Services at Student Care Centres and Kindergartens Administering Government Subsidy Schemes,Ministry of Social and Family Development - Ministry Headquarter,06-10-2015,Awarded to Suppliers,AUDIT ALLIANCE LLP,38066.8,4,2
CDVHQ0ETT15000043,Invitation to Tender for the Provision of a Mass Fever Screening System,Ministry of Social and Family Development - Ministry Headquarter,07-12-2015,Awarded to Suppliers,OMNISENSE SYSTEMS PRIVATE LIMITED,95000,4,2
CDVHQ0ETT15000046,Invitation to Tender for Proposed New Erection of 4/5 Storey Adult Disability Home at Sembawang Walk on Lot 05739T PT MK13 (Sembawang Planning Area),Ministry of Social and Family Development - Ministry Headquarter,21-12-2015,Awarded to Suppliers,H P CONSTRUCTION & ENGINEERING PTE LTD,15944584,4,2
CDVHQ0ETT15000047,Invitation to Tender for the Management of ComCare Hotline Call Service (2-Year Contract),Ministry of Social and Family Development - Ministry Headquarter,13-11-2015,Awarded to Suppliers,TELE-CENTRE SERVICES PTE LTD,3465600,4,2
CDVHQ0ETT15000048,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,20-01-2016,Awarded to Suppliers,GOLDEN VILLAGE PICTURES PTE LTD,50000,4,2
CDVHQ0ETT15000048,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,20-01-2016,Awarded to Suppliers,I.M COMMUNICATIONS PTE. LTD.,529942.3,4,2
CDVHQ0ETT15000048,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,20-01-2016,Awarded to Suppliers,MEDIACORP PTE. LTD.,94768.69,4,2
CDVHQ0ETT15000048,Invitation to Tender for the Provision of an Integrated Media Plan for a Public Awareness Campaign on Problem Gambling For the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,20-01-2016,Awarded to Suppliers,SPH RADIO PRIVATE LIMITED,84000,4,2
CDVHQ0ETT15000049,Invitation to tender to provide Intrusion Detection System services for Social Service Offices,Ministry of Social and Family Development - Ministry Headquarter,18-12-2015,Awarded to Suppliers,CERTIS TECHNOLOGY (SINGAPORE) PTE. LTD.,154930,4,2
CDVHQ0ETT15000053,Invitation To Tender For The Provision Of The Supply Of Mail Management Services For A Period Of 2 Years With An Option To Extend For Another 1 Year,Ministry of Social and Family Development - Ministry Headquarter,31-12-2015,Awarded to Suppliers,RMA CONTRACTS PTE. LTD.,222672,4,2
CDVHQ0ETT15000057,Invitation to tender for the provision of services as required by the Ministry of Social and Family Development (MSF) on behalf of the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,06-05-2016,Awarded to Suppliers,HEALTHWAY MEDICAL GROUP PTE LTD,3368456,4,2
CDVHQ0ETT15000057,Invitation to tender for the provision of services as required by the Ministry of Social and Family Development (MSF) on behalf of the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,06-05-2016,Awarded to Suppliers,THE RESILIENZ CLINIC PTE. LTD.,1708260,4,2
CDVHQ0ETT15000057,Invitation to tender for the provision of services as required by the Ministry of Social and Family Development (MSF) on behalf of the National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,06-05-2016,Awarded to Suppliers,THYE HUA KWAN MORAL CHARITIES LIMITED,751200,4,2
CDVHQ0ETT15000062,Invitation to Tender for the Provision of Auxiliary Police Officer (Enforcement) for National Council on Problem Gambling (NCPG),Ministry of Social and Family Development - Ministry Headquarter,11-02-2016,Awarded to Suppliers,AETOS SECURITY MANAGEMENT PTE. LTD.,177120,4,2
